invoice_id,client_id,project_id,invoice_date,due_date,paid_date,currency,amount_gbp,status
INV0001,C002,P005,2025-12-01,2025-12-31,,GBP,25000,Overdue
INV0002,C003,P003,2026-01-26,2026-02-25,,GBP,18000,Issued
INV0003,C001,P008,2026-02-22,2026-03-24,2026-03-01,GBP,60000,Paid
INV0004,C004,P002,2026-02-07,2026-03-09,,GBP,32500,Issued
INV0005,C007,P010,2025-12-02,2026-01-01,,GBP,25000,Overdue
INV0006,C010,P001,2026-02-17,2026-03-19,,GBP,60000,Overdue
INV0007,C003,P003,2025-10-03,2025-11-02,,GBP,18000,Overdue
INV0008,C003,P003,2025-12-07,2026-01-06,2026-01-09,GBP,18000,Paid
INV0009,C001,P008,2025-11-09,2025-12-09,,GBP,60000,Overdue
INV0010,C008,P009,2025-12-27,2026-01-26,2026-01-22,GBP,32500,Paid
